year,btu_recovered,reference_co2_tonnes_notebook_output,million_us_gallons_notebook_output,value_status
1986,9651643372031.74,705683.580491896,84.0647004886025,recovered_from_embedded_notebook_plotly_output
1987,10887644640592.9,796054.283912032,94.8301289695409,recovered_from_embedded_notebook_plotly_output
1988,11877430517010.5,868422.855176762,103.451049784954,recovered_from_embedded_notebook_plotly_output
1989,13093734554200.2,957353.388024466,114.04491765265,recovered_from_embedded_notebook_plotly_output
1990,13386187713888,978736.212161202,116.592150940127,recovered_from_embedded_notebook_plotly_output
1991,12556954846656,918106.535301659,109.369628315518,recovered_from_embedded_notebook_plotly_output
1992,14699139753672,1074733.20052215,128.027811762426,recovered_from_embedded_notebook_plotly_output
1993,16362541398060,1196353.44517492,142.515848217744,recovered_from_embedded_notebook_plotly_output
1994,18835432269984,1377159.80295249,164.054442473277,recovered_from_embedded_notebook_plotly_output
1995,21155309934264,1546778.54178573,184.260309339744,recovered_from_embedded_notebook_plotly_output
1996,22132620099216,1618234.94665591,192.77256814732,recovered_from_embedded_notebook_plotly_output
1997,22947045236676,1677781.95071439,199.866117153633,recovered_from_embedded_notebook_plotly_output
1998,27675646943868,2023515.46518726,241.051692596348,recovered_from_embedded_notebook_plotly_output
1999,29220586750080,2136474.32743153,254.507940105293,recovered_from_embedded_notebook_plotly_output
2000,31645105704748.8,2313743.95405896,275.625220541057,recovered_from_embedded_notebook_plotly_output
2001,32137464187205.2,2349742.93199387,279.913606131501,recovered_from_embedded_notebook_plotly_output
2002,34243075845797.5,2503695.53022877,298.253240803229,recovered_from_embedded_notebook_plotly_output
2003,32986863787949.2,2411847.10725364,287.311778678841,recovered_from_embedded_notebook_plotly_output
2004,33270790750592,2432606.53524665,289.784749773521,recovered_from_embedded_notebook_plotly_output
2005,34573133325288.6,2527827.80852765,301.128003378672,recovered_from_embedded_notebook_plotly_output
2006,36109728104389.1,2640176.52093687,314.511566664044,recovered_from_embedded_notebook_plotly_output
2007,37930692876306.2,2773317.05365897,330.37195978581,recovered_from_embedded_notebook_plotly_output
2008,37064845780359.3,2710010.31352425,322.830531452411,recovered_from_embedded_notebook_plotly_output
2009,41080028245631.4,3003581.90845409,357.802307588306,recovered_from_embedded_notebook_plotly_output
2010,40284571938600,2945421.81765573,350.873974907041,recovered_from_embedded_notebook_plotly_output
2011,39214240810800,2867164.14966454,341.551514242687,recovered_from_embedded_notebook_plotly_output
2012,39683190927600,2901451.61603058,345.636015668333,recovered_from_embedded_notebook_plotly_output
2013,41962692915000,3068118.27187369,365.490215046362,recovered_from_embedded_notebook_plotly_output
2014,46113906973200,3371635.86852129,401.646810665912,recovered_from_embedded_notebook_plotly_output
2015,55731307018200,4074815.7351174,485.413255725911,recovered_from_embedded_notebook_plotly_output
2016,60922907463000,4454401.57860041,530.631496767979,recovered_from_embedded_notebook_plotly_output
2017,63906221365800,4672527.71064956,556.61581674701,recovered_from_embedded_notebook_plotly_output
2018,66943789393800,4894620.65372269,583.072683898518,recovered_from_embedded_notebook_plotly_output
2019,63906222151125.7,4672527.76806895,556.615823587106,recovered_from_embedded_notebook_plotly_output
2020,68729703683738.1,5025198.45710767,598.627791365191,recovered_from_embedded_notebook_plotly_output
2021,80349320784116.7,5874771.18615204,699.833316029116,recovered_from_embedded_notebook_plotly_output
2022,79020967608000,5777648.13784339,688.263513085825,recovered_from_embedded_notebook_plotly_output
2023,84467125187090.3,6175846.02313538,735.698917405326,recovered_from_embedded_notebook_plotly_output
