year,energy_tj,data_status,source_series_id
1986,10923.692744205147,observed,INTL.62-2-GTM-TJ.A
1987,12339.726988824334,observed,INTL.62-2-GTM-TJ.A
1988,13387.758596094345,observed,INTL.62-2-GTM-TJ.A
1989,13755.761233443518,observed,INTL.62-2-GTM-TJ.A
1990,14767.214265314366,observed,INTL.62-2-GTM-TJ.A
1991,13351.18002069518,observed,INTL.62-2-GTM-TJ.A
1992,16633.275831511157,observed,INTL.62-2-GTM-TJ.A
1993,18408.445180049413,observed,INTL.62-2-GTM-TJ.A
1994,19217.60760554609,observed,INTL.62-2-GTM-TJ.A
1995,17396.992148178568,observed,INTL.62-2-GTM-TJ.A
1996,26369.827537761586,observed,INTL.62-2-GTM-TJ.A
1997,26297.778828642022,observed,INTL.62-2-GTM-TJ.A
1998,30343.59095612541,observed,INTL.62-2-GTM-TJ.A
1999,32366.497019867104,observed,INTL.62-2-GTM-TJ.A
2000,35550.82827461615,observed,INTL.62-2-GTM-TJ.A
2001,37820.03007937895,observed,INTL.62-2-GTM-TJ.A
2002,38150.955342573536,observed,INTL.62-2-GTM-TJ.A
2003,37016.354440192095,observed,INTL.62-2-GTM-TJ.A
2004,37347.27970338676,observed,INTL.62-2-GTM-TJ.A
2005,39001.90601935961,observed,INTL.62-2-GTM-TJ.A
2006,40514.70722253466,observed,INTL.62-2-GTM-TJ.A
2007,42500.25880170217,observed,INTL.62-2-GTM-TJ.A
2008,41507.48301211838,observed,INTL.62-2-GTM-TJ.A
2009,46140.4366968424,observed,INTL.62-2-GTM-TJ.A
2010,45242.2109824571,observed,INTL.62-2-GTM-TJ.A
2011,44060.335042476436,observed,INTL.62-2-GTM-TJ.A
2012,43918.50992967888,observed,INTL.62-2-GTM-TJ.A
2013,47653.23790001745,observed,INTL.62-2-GTM-TJ.A
2014,51860.7162463484,observed,INTL.62-2-GTM-TJ.A
2015,62709.35471217494,observed,INTL.62-2-GTM-TJ.A
2016,68778.03597644519,observed,INTL.62-2-GTM-TJ.A
2017,73370.85835399518,observed,INTL.62-2-GTM-TJ.A
2018,75261.86061760435,observed,INTL.62-2-GTM-TJ.A
2019,83629.54023640914,observed,INTL.62-2-GTM-TJ.A
2020,77294.68948163993,observed,INTL.62-2-GTM-TJ.A
2021,90342.59686266704,observed,INTL.62-2-GTM-TJ.A
2022,88877.07153058524,observed,INTL.62-2-GTM-TJ.A
2023,94928.27051937756,observed,INTL.62-2-GTM-TJ.A
2024,94888.13619474389,observed,INTL.62-2-GTM-TJ.A
2025,102790.9765975941,projected_log_linear,INTL.62-2-GTM-TJ.A
2026,107513.18347548097,projected_log_linear,INTL.62-2-GTM-TJ.A
2027,112452.32805097218,projected_log_linear,INTL.62-2-GTM-TJ.A
2028,117618.37641955166,projected_log_linear,INTL.62-2-GTM-TJ.A
2029,123021.75251810423,projected_log_linear,INTL.62-2-GTM-TJ.A
2030,128673.35915810075,projected_log_linear,INTL.62-2-GTM-TJ.A
