grupo_analitico,codigo_inicio,codigo_fin,descripcion
agricultura_pesca_silvicultura,P001,P030,"Agricultura, ganadería, silvicultura y pesca."
mineria,P031,P033,"Petróleo crudo, gas natural y minerales."
alimentos_bebidas_tabaco,P034,P058,"Alimentos procesados, bebidas y tabaco."
manufactura_otros_y_refinacion,P059,P070,"Textiles, cuero, madera, papel, edición, impresión y refinación."
quimica_farmaceutica,P071,P075,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos."
otras_manufacturas,P076,P094,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros."
electricidad_agua_desechos,P095,P097,"Electricidad, gas, agua y gestión de desechos."
construccion,P098,P101,"Edificaciones, obras civiles y servicios de construcción."
comercio_reparacion,P102,P103,"Comercio y reparación de vehículos."
transporte_logistica,P104,P109,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería."
alojamiento_comidas,P110,P111,"Alojamiento y suministro de comidas y bebidas."
servicios_privados,P112,P136,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado."
servicios_publicos_sociales,P137,P150,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos."
ajustes_comercio_exterior,P151,P152,"Compras directas de residentes y no residentes."
