familia_analitica,trayectoria,producto,anio,mezcla_en_periodo,fecha_inicio,fecha_fin,dias_en_vigencia,dias_anio,fraccion_anio_en_vigencia,caracter,estado_normativo,fuente_id,nota
reproduccion_publicada,E10_articulo,gasolina_segun_serie_articulo,2026,E10,2026-01-01,2026-12-31,365,365,1.0,reproduccion_metodologica,no_es_actualizacion_normativa,MANUSCRITO,"Supuesto anual conservado únicamente para reproducir los resultados reportados en el manuscrito."
reproduccion_publicada,E10_articulo,gasolina_segun_serie_articulo,2027,E10,2027-01-01,2027-12-31,365,365,1.0,reproduccion_metodologica,no_es_actualizacion_normativa,MANUSCRITO,"Supuesto anual conservado únicamente para reproducir los resultados reportados en el manuscrito."
reproduccion_publicada,E10_articulo,gasolina_segun_serie_articulo,2028,E10,2028-01-01,2028-12-31,366,366,1.0,reproduccion_metodologica,no_es_actualizacion_normativa,MANUSCRITO,"Supuesto anual conservado únicamente para reproducir los resultados reportados en el manuscrito."
reproduccion_publicada,E10_articulo,gasolina_segun_serie_articulo,2029,E10,2029-01-01,2029-12-31,365,365,1.0,reproduccion_metodologica,no_es_actualizacion_normativa,MANUSCRITO,"Supuesto anual conservado únicamente para reproducir los resultados reportados en el manuscrito."
reproduccion_publicada,E10_articulo,gasolina_segun_serie_articulo,2030,E10,2030-01-01,2030-12-31,365,365,1.0,reproduccion_metodologica,no_es_actualizacion_normativa,MANUSCRITO,"Supuesto anual conservado únicamente para reproducir los resultados reportados en el manuscrito."
actualizacion_normativa_2026,E10_regular_vigente,gasolina_regular,2026,E10,2026-08-22,2026-12-31,132,365,0.3616438356164384,actualizacion_factual,vigente_al_corte,F011,"La fracción cuenta del 22 de agosto al 31 de diciembre, ambos inclusive."
actualizacion_normativa_2026,superior_pendiente,gasolina_superior,2026,NO_MODELO,,,0,365,0.0,fuera_actualizacion_factual,pendiente_dictamen_y_disposicion,F011,"No se asigna mezcla ni fecha hasta disponer de dictamen, norma y datos verificables."
escenarios_mezclas_superiores,transicion_E15,gasolina_regular,2026,E10,2026-08-22,2026-12-31,132,365,0.3616438356164384,punto_partida_normativo,vigente_al_corte,F011,"Punto de partida común; los porcentajes posteriores son hipotéticos."
escenarios_mezclas_superiores,transicion_E15,gasolina_regular,2027,E10,2027-01-01,2027-12-31,365,365,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Continuidad de referencia antes de una mezcla superior."
escenarios_mezclas_superiores,transicion_E15,gasolina_regular,2028,E15,2028-01-01,2028-12-31,366,366,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Escenario de transición; no representa norma vigente."
escenarios_mezclas_superiores,transicion_E15,gasolina_regular,2029,E15,2029-01-01,2029-12-31,365,365,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Escenario de transición; no representa norma vigente."
escenarios_mezclas_superiores,transicion_E15,gasolina_regular,2030,E15,2030-01-01,2030-12-31,365,365,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Escenario de transición; no representa norma vigente."
escenarios_mezclas_superiores,transicion_E20,gasolina_regular,2026,E10,2026-08-22,2026-12-31,132,365,0.3616438356164384,punto_partida_normativo,vigente_al_corte,F011,"Punto de partida común; los porcentajes posteriores son hipotéticos."
escenarios_mezclas_superiores,transicion_E20,gasolina_regular,2027,E10,2027-01-01,2027-12-31,365,365,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Continuidad de referencia antes de una mezcla superior."
escenarios_mezclas_superiores,transicion_E20,gasolina_regular,2028,E15,2028-01-01,2028-12-31,366,366,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Escenario de transición; no representa norma vigente."
escenarios_mezclas_superiores,transicion_E20,gasolina_regular,2029,E15,2029-01-01,2029-12-31,365,365,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Escenario de transición; no representa norma vigente."
escenarios_mezclas_superiores,transicion_E20,gasolina_regular,2030,E20,2030-01-01,2030-12-31,365,365,1.0,hipotetico,escenario_no_normativo,CONFIG_ESCENARIO,"Escenario de transición; no representa norma vigente."
