id_escenario,escenario,recargo_entrega_ilustrativo_fraccion,participacion_gasolina_en_p068,grupo_analitico,descripcion,codigo_inicio,codigo_fin,numero_productos,produccion_base_millones_q_2013,efecto_precio_ponderado_produccion_pct,efecto_precio_minimo_producto_pct,efecto_precio_maximo_producto_pct
E10_r00_p068_450,E10,0.0,0.45,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,-0.005245800347363846,-0.04505461295898235,-0.0011466955932296174
E10_r00_p068_450,E10,0.0,0.45,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,-0.010280013721069764,-0.015409509605415435,-0.006103914941229254
E10_r00_p068_450,E10,0.0,0.45,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,-0.006450344928961989,-0.012747016725839775,-0.0021122904714115614
E10_r00_p068_450,E10,0.0,0.45,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,-0.00594132611368308,-0.01381329686015584,0.0
E10_r00_p068_450,E10,0.0,0.45,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,-0.004672735258769584,-0.010312378256148417,-0.0018273597715014033
E10_r00_p068_450,E10,0.0,0.45,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,-0.006207759162636404,-0.024119939625906008,0.0
E10_r00_p068_450,E10,0.0,0.45,electricidad_agua_desechos,"Electricidad, gas, agua y gestión de desechos.",P095,P097,3,18377.121163366268,-0.020276821302073728,-0.02228354184803438,-0.012462306922428232
E10_r00_p068_450,E10,0.0,0.45,construccion,"Edificaciones, obras civiles y servicios de construcción.",P098,P101,4,42692.54198585462,-0.005737309799018802,-0.008507085915249325,-0.0033102613922210344
E10_r00_p068_450,E10,0.0,0.45,comercio_reparacion,Comercio y reparación de vehículos.,P102,P103,2,110301.56241488637,-0.004728676006789888,-0.008235789762522103,-0.0044448613564530715
E10_r00_p068_450,E10,0.0,0.45,transporte_logistica,"Transporte de pasajeros y carga, almacenamiento, apoyo, correo y mensajería.",P104,P109,6,25090.974998895443,-0.032813297987253846,-0.04444101819989328,-0.003077479626137968
E10_r00_p068_450,E10,0.0,0.45,alojamiento_comidas,Alojamiento y suministro de comidas y bebidas.,P110,P111,2,29302.71482493113,-0.004145900018471289,-0.007141113820563346,-0.003941090740801081
E10_r00_p068_450,E10,0.0,0.45,servicios_privados,"Información, finanzas, inmobiliarios, profesionales, administrativos y otros servicios de mercado.",P112,P136,25,144897.2483061703,-0.002616429648902389,-0.0072906089818084215,-0.0003542663638545578
E10_r00_p068_450,E10,0.0,0.45,servicios_publicos_sociales,"Gobierno, enseñanza, salud, cultura, asociaciones y servicios domésticos.",P137,P150,14,78471.62944532983,-0.0032163266420830836,-0.010536832773836768,0.0
E10_r00_p068_450,E10,0.0,0.45,ajustes_comercio_exterior,Compras directas de residentes y no residentes.,P151,P152,2,0.0,0.0,0.0,0.0
E10_r00_p068_502,E10,0.0,0.502,agricultura_pesca_silvicultura,"Agricultura, ganadería, silvicultura y pesca.",P001,P030,30,74663.33847793967,-0.005851981720837004,-0.05026092378979804,-0.001279202639558373
E10_r00_p068_502,E10,0.0,0.502,mineria,"Petróleo crudo, gas natural y minerales.",P031,P033,3,8450.23278764872,-0.011467926417726712,-0.017190164048707872,-0.006809256223326855
E10_r00_p068_502,E10,0.0,0.502,alimentos_bebidas_tabaco,"Alimentos procesados, bebidas y tabaco.",P034,P058,25,85313.2317468036,-0.0071957181207531525,-0.014220005325270147,-0.0023563773703302307
E10_r00_p068_502,E10,0.0,0.502,manufactura_otros_y_refinacion,"Textiles, cuero, madera, papel, edición, impresión y refinación.",P059,P070,12,24472.43089526476,-0.006627879353486459,-0.01540950005288496,0.0
E10_r00_p068_502,E10,0.0,0.502,quimica_farmaceutica,"Fertilizantes, pinturas, limpieza, otros químicos y farmacéuticos.",P071,P075,5,15290.689256096739,-0.005212695777560735,-0.011504030854636676,-0.0020385213450971216
E10_r00_p068_502,E10,0.0,0.502,otras_manufacturas,"Caucho, plástico, minerales no metálicos, metales, maquinaria, equipo, muebles y otros.",P076,P094,19,37622.85104702268,-0.006925100221429943,-0.02690713264934403,0.0
