id_escenario,escenario,recargo_entrega_ilustrativo_fraccion,participacion_gasolina_en_p068,codigo,producto,efecto_costo_directo_pct,efecto_precio_propagado_pct
E10_r00_p068_450,E10,0.0,0.45,P001,Maíz,-0.001492200733379665,-0.0023158635427763564
E10_r00_p068_450,E10,0.0,0.45,P002,Frijoles,-0.00013180962275265469,-0.0011466955932296174
E10_r00_p068_450,E10,0.0,0.45,P003,Leguminosas (legumbres secas) y semillas oleaginosas,-0.003647202093053485,-0.00554566355934498
E10_r00_p068_450,E10,0.0,0.45,P004,Arroz,-0.0018112164728405025,-0.0040184595649461665
E10_r00_p068_450,E10,0.0,0.45,P005,Otros cereales,-0.001218726469574463,-0.0021649863708992374
E10_r00_p068_450,E10,0.0,0.45,P006,Hortalizas,-0.002363583498065035,-0.003836135039066067
E10_r00_p068_450,E10,0.0,0.45,P007,Sandías y melones,-0.0017844480287484918,-0.003308964395974778
E10_r00_p068_450,E10,0.0,0.45,P008,Ejotes y arvejas,-0.0017267483979575334,-0.0030414947446021456
E10_r00_p068_450,E10,0.0,0.45,P009,Raíces y tubérculos,-0.0022368485562619866,-0.0043649202236973805
E10_r00_p068_450,E10,0.0,0.45,P010,Caña de azúcar y otras plantas azucareras,-0.003808439422516431,-0.0070331335303345675
E10_r00_p068_450,E10,0.0,0.45,P011,Tabaco y otras plantas no perennes,-0.0003557224891169329,-0.0023729933488224903
E10_r00_p068_450,E10,0.0,0.45,P012,"Bananos, plátanos y otros",-0.0036589124387660776,-0.006768646115211804
E10_r00_p068_450,E10,0.0,0.45,P013,Frutas tropicales y subtropicales,-0.002231535681332486,-0.0035588223210271156
E10_r00_p068_450,E10,0.0,0.45,P014,"Berries, otras frutas y semillas de frutas",-0.0026667222194628163,-0.00387298142160882
E10_r00_p068_450,E10,0.0,0.45,P015,Palma africana,-0.003002752155415903,-0.00625026811288133
E10_r00_p068_450,E10,0.0,0.45,P016,Café en grano,-0.00013829606138397732,-0.002618930946512265
E10_r00_p068_450,E10,0.0,0.45,P017,Cardamomo,-0.0015031228248335738,-0.0042687403533640395
E10_r00_p068_450,E10,0.0,0.45,P018,Caucho natural,-0.005737871676184735,-0.011837576943258075
E10_r00_p068_450,E10,0.0,0.45,P019,Propagación de plantas,-0.014613136818123656,-0.01871278734776205
E10_r00_p068_450,E10,0.0,0.45,P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",-0.010565972789993118,-0.012827708084724639
E10_r00_p068_450,E10,0.0,0.45,P021,Ganado bovino,-0.00110507595636429,-0.00219054684349488
E10_r00_p068_450,E10,0.0,0.45,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,-0.002660489950145522,-0.004649670806227464
E10_r00_p068_450,E10,0.0,0.45,P023,Aves de corral,-0.0011325378578030882,-0.0032926708854052822
E10_r00_p068_450,E10,0.0,0.45,P024,Leche cruda,-0.0020785138570833,-0.004625753672476133
E10_r00_p068_450,E10,0.0,0.45,P025,Huevos,-0.0011440369622581193,-0.0024242040440120016
E10_r00_p068_450,E10,0.0,0.45,P026,Otros productos de animales vivos,-0.0,-0.002312012629036178
E10_r00_p068_450,E10,0.0,0.45,P027,Troncos de madera y leña,-0.006372044070098924,-0.008805245020893958
E10_r00_p068_450,E10,0.0,0.45,P028,Productos forestales no madereros,-0.005059139678445854,-0.008709734206883672
E10_r00_p068_450,E10,0.0,0.45,P029,"Peces vivos, frescos o refrigerados",-0.043909982033887365,-0.04505461295898235
E10_r00_p068_450,E10,0.0,0.45,P030,Crustáceos sin congelar y otros productos de la pesca,-0.004423875653264059,-0.0067237690321090135
E10_r00_p068_450,E10,0.0,0.45,P031,Petróleo crudo y gas natural,-0.010986903333088065,-0.013084336190958673
E10_r00_p068_450,E10,0.0,0.45,P032,Minerales metálicos,-0.003924040281217228,-0.006103914941229254
E10_r00_p068_450,E10,0.0,0.45,P033,Minerales no metálicos,-0.012888728359324262,-0.015409509605415435
E10_r00_p068_450,E10,0.0,0.45,P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,-0.002332424433489017,-0.005678819268470917
E10_r00_p068_450,E10,0.0,0.45,P035,Carne y despojos comestibles de ganado porcino,-0.0010192916345392292,-0.005114059557381057
E10_r00_p068_450,E10,0.0,0.45,P036,Carne y despojos comestibles de aves,-0.002138462287140616,-0.00575549486454728
E10_r00_p068_450,E10,0.0,0.45,P037,Carne y despojos de otros animales y conservas y preparados de carne,-0.0031766632218166247,-0.00615171923297662
E10_r00_p068_450,E10,0.0,0.45,P038,"Pescado congelado, preparado o en conserva y sus productos",-0.000762252707793524,-0.0031635241995927247
E10_r00_p068_450,E10,0.0,0.45,P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",-0.0015737082598054318,-0.004357974917047461
E10_r00_p068_450,E10,0.0,0.45,P040,"Vegetales preparados o en conserva, legumbres y papas",-0.006964908030190458,-0.010387688792624312
E10_r00_p068_450,E10,0.0,0.45,P041,Preparaciones y conservas de frutas y nueces,-0.002278006787347455,-0.004618943875912738
E10_r00_p068_450,E10,0.0,0.45,P042,Jugos de frutas,-0.005412200799874678,-0.008602390742554915
E10_r00_p068_450,E10,0.0,0.45,P043,Aceites de origen vegetal,-0.0028753741322186696,-0.006711986106256898
E10_r00_p068_450,E10,0.0,0.45,P044,"Margarina, grasas y otros aceites de origen animal y vegetal",-0.0036169733855236077,-0.007538469923516528
E10_r00_p068_450,E10,0.0,0.45,P045,Leche líquida y crema procesada,-0.002490071774840534,-0.006312321473724675
E10_r00_p068_450,E10,0.0,0.45,P046,Otros productos lácteos n.c.p.,-0.0025783279227182673,-0.006191044090707924
E10_r00_p068_450,E10,0.0,0.45,P047,Harina de trigo,-0.003611370570829427,-0.006960262719531988
E10_r00_p068_450,E10,0.0,0.45,P048,Arroz sin cáscara,-0.004086585568754802,-0.005751505118969871
E10_r00_p068_450,E10,0.0,0.45,P049,"Otros productos de molinería, almidones y productos de almidón",-0.006040784491797512,-0.008602330840156635
E10_r00_p068_450,E10,0.0,0.45,P050,Pan y otros productos de panadería y repostería n.c.p.,-0.0006473075156685968,-0.0040769339946018154
E10_r00_p068_450,E10,0.0,0.45,P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",-6.147546422889692e-05,-0.0021122904714115614
E10_r00_p068_450,E10,0.0,0.45,P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",-0.0002924094633938319,-0.006315443811483675
E10_r00_p068_450,E10,0.0,0.45,P053,Productos alimenticios n.c.p.,-0.006465194544203267,-0.009095121048240697
E10_r00_p068_450,E10,0.0,0.45,P054,Preparados para alimentación animal,-0.0005284788062797002,-0.002540419147127188
E10_r00_p068_450,E10,0.0,0.45,P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",-0.0008381357566438386,-0.00362157534239011
E10_r00_p068_450,E10,0.0,0.45,P056,Malta y cerveza de malta,-0.009710408027170915,-0.0126046221099828
E10_r00_p068_450,E10,0.0,0.45,P057,Bebidas no alcohólicas,-0.008608576281403975,-0.012747016725839775
E10_r00_p068_450,E10,0.0,0.45,P058,Aguas minerales y otras aguas embotelladas,-0.0089450012205735,-0.011547247813680047
E10_r00_p068_450,E10,0.0,0.45,P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",-0.003338486697238867,-0.00586586395951433
E10_r00_p068_450,E10,0.0,0.45,P060,"Prendas de vestir, adobo y teñido de pieles",-0.0031946428551126223,-0.006098837210563164
E10_r00_p068_450,E10,0.0,0.45,P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,-0.004218560426347027,-0.007186980966936115
E10_r00_p068_450,E10,0.0,0.45,P062,"Calzado y sus partes, de cualquier material y de cualquier uso",-0.00026300566785269705,-0.0030512643076552664
E10_r00_p068_450,E10,0.0,0.45,P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",-0.004408904682092825,-0.009890117459917112
E10_r00_p068_450,E10,0.0,0.45,P064,Pasta de papel y papel,-0.001277157102588179,-0.0038036033775411863
E10_r00_p068_450,E10,0.0,0.45,P065,Envases de papel y cartón,-0.0017449573834593384,-0.0038765583229409366
E10_r00_p068_450,E10,0.0,0.45,P066,Productos de la edición,-0.0018951347842989387,-0.0039482774745190664
E10_r00_p068_450,E10,0.0,0.45,P067,Productos de la impresión,-0.0031807058518371007,-0.005459560943602805
E10_r00_p068_450,E10,0.0,0.45,P068,"Gasolinas, diésel oil y fuel oils",-0.005588688503544365,-0.0067950206609847215
E10_r00_p068_450,E10,0.0,0.45,P069,"Aceites, grasas lubricantes y otros aceites preparados",-0.0,0.0
E10_r00_p068_450,E10,0.0,0.45,P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",-0.011569512773055091,-0.01381329686015584
E10_r00_p068_450,E10,0.0,0.45,P071,"Abonos, fertilizantes y pesticidas",-0.00040158748664616154,-0.0018273597715014033
E10_r00_p068_450,E10,0.0,0.45,P072,"Pinturas, barnices, tintas y productos relacionados",-0.0018696275105209849,-0.003851810013258422
