id_escenario,escenario,recargo_entrega_ilustrativo_fraccion,participacion_gasolina_en_p068,procedencia,choque_demanda_final_domestica_millones_q_2013,cambio_produccion_domestica_millones_q_2013,cambio_valor_agregado_domestico_millones_q_2013,volumen_alcohol_importado_millones_gal,referencia_comercial_eeuu_millones_gal_anuales,fraccion_requerimiento_alcohol_cubierta_por_referencia_comercial
E10_r00_p068_450,E10,0.0,0.45,100% importado,0.0,0.0,0.0,74.52656098350047,50.0,0.6709017475134745
E10_r00_p068_502,E10,0.0,0.502,100% importado,0.0,0.0,0.0,74.52656098350047,50.0,0.6709017475134745
E10_r15_p068_450,E10,0.15,0.45,100% importado,0.0,0.0,0.0,74.52656098350047,50.0,0.6709017475134745
E10_r15_p068_502,E10,0.15,0.502,100% importado,0.0,0.0,0.0,74.52656098350047,50.0,0.6709017475134745
E10_r30_p068_450,E10,0.3,0.45,100% importado,0.0,0.0,0.0,74.52656098350047,50.0,0.6709017475134745
E10_r30_p068_502,E10,0.3,0.502,100% importado,0.0,0.0,0.0,74.52656098350047,50.0,0.6709017475134745
E15_r00_p068_450,E15,0.0,0.45,100% importado,0.0,0.0,0.0,113.79627861024206,50.0,0.4393816793539664
E15_r00_p068_502,E15,0.0,0.502,100% importado,0.0,0.0,0.0,113.79627861024206,50.0,0.4393816793539664
E15_r15_p068_450,E15,0.15,0.45,100% importado,0.0,0.0,0.0,113.79627861024206,50.0,0.4393816793539664
E15_r15_p068_502,E15,0.15,0.502,100% importado,0.0,0.0,0.0,113.79627861024206,50.0,0.4393816793539664
E15_r30_p068_450,E15,0.3,0.45,100% importado,0.0,0.0,0.0,113.79627861024206,50.0,0.4393816793539664
E15_r30_p068_502,E15,0.3,0.502,100% importado,0.0,0.0,0.0,113.79627861024206,50.0,0.4393816793539664
E20_r00_p068_450,E20,0.0,0.45,100% importado,0.0,0.0,0.0,154.50140845070422,50.0,0.3236216452742124
E20_r00_p068_502,E20,0.0,0.502,100% importado,0.0,0.0,0.0,154.50140845070422,50.0,0.3236216452742124
E20_r15_p068_450,E20,0.15,0.45,100% importado,0.0,0.0,0.0,154.50140845070422,50.0,0.3236216452742124
E20_r15_p068_502,E20,0.15,0.502,100% importado,0.0,0.0,0.0,154.50140845070422,50.0,0.3236216452742124
E20_r30_p068_450,E20,0.3,0.45,100% importado,0.0,0.0,0.0,154.50140845070422,50.0,0.3236216452742124
E20_r30_p068_502,E20,0.3,0.502,100% importado,0.0,0.0,0.0,154.50140845070422,50.0,0.3236216452742124
