id_escenario,escenario,fraccion_alcohol,recargo_entrega_ilustrativo_fraccion,recargo_es_dato_observado,participacion_gasolina_en_p068,energia_relativa_mezcla,precio_gasolina_referencia_usd_galon,precio_alcohol_fob_referencia_usd_galon,precio_alcohol_ajustado_recargo_ilustrativo_usd_galon,precio_ajustado_es_costo_entregado_observado,cambio_precio_nominal_pct,cambio_costo_servicio_pct,volumen_mezcla_millones_gal,volumen_alcohol_millones_gal,volumen_gasolina_millones_gal,gasolina_desplazada_millones_gal,valor_alcohol_importado_fob_millones_usd,valor_alcohol_con_recargo_ilustrativo_millones_usd,referencia_comercial_eeuu_millones_gal_anuales,referencia_comercial_es_compra_observada,referencia_comercial_es_contrato_adquisicion,fraccion_requerimiento_alcohol_cubierta_por_referencia_comercial,porcentaje_requerimiento_alcohol_cubierto_por_referencia_comercial,costo_total_mezcla_millones_usd,variacion_costo_total_millones_usd,procedencia_central,choque_demanda_final_domestica_millones_q_2013,codigo_mayor_efecto_precio,mayor_efecto_precio_pct
E10_r00_p068_450,E10,0.1,0.0,False,0.45,0.9659375,2.9664,1.82,1.82,False,-3.864617044228702,-0.47453074782654037,745.2656098350049,74.52656098350047,670.7390488515043,49.140951148495674,135.63834098997089,135.63834098997089,50.0,False,False,0.6709017475134745,67.09017475134745,2125.3186555030734,-10.133376496926546,100% importado,0.0,P029,-0.04505461295898235
E10_r00_p068_502,E10,0.1,0.0,False,0.502,0.9659375,2.9664,1.82,1.82,False,-3.864617044228702,-0.47453074782654037,745.2656098350049,74.52656098350047,670.7390488515043,49.140951148495674,135.63834098997089,135.63834098997089,50.0,False,False,0.6709017475134745,67.09017475134745,2125.3186555030734,-10.133376496926546,100% importado,0.0,P029,-0.05026092378979804
E10_r15_p068_450,E10,0.1,0.15,False,0.45,0.9659375,2.9664,1.82,2.093,False,-2.9443096008630043,0.478230112338518,745.2656098350049,74.52656098350047,670.7390488515043,49.140951148495674,135.63834098997089,155.9840921384665,50.0,False,False,0.6709017475134745,67.09017475134745,2145.664406651569,10.212374651569128,100% importado,0.0,P029,0.045405851391991665
E10_r15_p068_502,E10,0.1,0.15,False,0.502,0.9659375,2.9664,1.82,2.093,False,-2.9443096008630043,0.478230112338518,745.2656098350049,74.52656098350047,670.7390488515043,49.140951148495674,135.63834098997089,155.9840921384665,50.0,False,False,0.6709017475134745,67.09017475134745,2145.664406651569,10.212374651569128,100% importado,0.0,P029,0.05065274977506627
E10_r30_p068_450,E10,0.1,0.3,False,0.45,0.9659375,2.9664,1.82,2.366,False,-2.0240021574972955,1.4309909725036096,745.2656098350049,74.52656098350047,670.7390488515043,49.140951148495674,135.63834098997089,176.32984328696216,50.0,False,False,0.6709017475134745,67.09017475134745,2166.0101578000645,30.558125800064563,100% importado,0.0,P029,0.13586631574296887
E10_r30_p068_502,E10,0.1,0.3,False,0.502,0.9659375,2.9664,1.82,2.366,False,-2.0240021574972955,1.4309909725036096,745.2656098350049,74.52656098350047,670.7390488515043,49.140951148495674,135.63834098997089,176.32984328696216,50.0,False,False,0.6709017475134745,67.09017475134745,2166.0101578000645,30.558125800064563,100% importado,0.0,P029,0.15156642333993414
E15_r00_p068_450,E15,0.15,0.0,False,0.45,0.94890625,2.9664,1.82,1.82,False,-5.796925566343036,-0.7245716490359655,758.6418574016137,113.79627861024206,644.8455787913716,75.03442120862842,207.10922707064054,207.10922707064054,50.0,False,False,0.4393816793539664,43.938167935396635,2119.979151997365,-15.472880002634763,100% importado,0.0,P029,-0.06879489971490771
E15_r00_p068_502,E15,0.15,0.0,False,0.502,0.94890625,2.9664,1.82,1.82,False,-5.796925566343036,-0.7245716490359655,758.6418574016137,113.79627861024206,644.8455787913716,75.03442120862842,207.10922707064054,207.10922707064054,50.0,False,False,0.4393816793539664,43.938167935396635,2119.979151997365,-15.472880002634763,100% importado,0.0,P029,-0.07674453257085259
E15_r15_p068_450,E15,0.15,0.15,False,0.45,0.94890625,2.9664,1.82,2.093,False,-4.416464401294496,0.7302202917364164,758.6418574016137,113.79627861024206,644.8455787913716,75.03442120862842,207.10922707064054,238.17561113123662,50.0,False,False,0.4393816793539664,43.938167935396635,2151.0455360579613,15.593504057961464,100% importado,0.0,P029,0.06933121356132982
E15_r15_p068_502,E15,0.15,0.15,False,0.502,0.94890625,2.9664,1.82,2.093,False,-4.416464401294496,0.7302202917364164,758.6418574016137,113.79627861024206,644.8455787913716,75.03442120862842,207.10922707064054,238.17561113123662,50.0,False,False,0.4393816793539664,43.938167935396635,2151.0455360579613,15.593504057961464,100% importado,0.0,P029,0.07734282046175014
