id_afirmacion_manuscrito,bloque,etiqueta_manuscrito,valor_reportado_manuscrito,unidad,metrica_comparable,valor_e5_recalculado,valor_e10_misma_metodologia,coincide_e5_con_manuscrito,coincide_e10_con_manuscrito,valor_alternativo_que_coincide,metrica_alternativa,diagnostico
cost_push_transporte,cost_push,Transporte,1.53,porcentaje,"promedio de delta p propagado en P104-P105, como en el resumen historico",0.0019740473580122826,7.379616291635907e-05,False,False,1.5285714285714347,"r E5, choque inicial de la mezcla",1.53% coincide por redondeo con r del E5; no con el efecto propagado de transporte.
cost_push_industria_quimica,cost_push,Industria quimica,0.8,porcentaje,promedio simple de delta p propagado por categoria,8.999990781861152e-05,3.364482535275746e-06,False,False,,,El porcentaje del manuscrito no se reproduce con la agregacion analitica explicita y la formula heredada.
cost_push_servicios,cost_push,Servicios,0.4,porcentaje,promedio simple de delta p propagado por categoria,9.185137407675124e-05,3.4336962271688317e-06,False,False,,,El porcentaje del manuscrito no se reproduce con la agregacion analitica explicita y la formula heredada.
cost_push_agricultura,cost_push,Agricultura,0.2,porcentaje,promedio simple de delta p propagado por categoria,0.0002181076992357036,8.153558849934177e-06,False,False,,,El porcentaje del manuscrito no se reproduce con la agregacion analitica explicita y la formula heredada.
demand_pull_cana_de_azucar,demand_pull,Cana de azucar,3.17,millones Q de 2013,delta x agregado por categoria,1.8790713809166484,3.7581427618332968,False,False,3.166771669703373,delta x total E5,3.17 coincide por redondeo con delta x total E5; no con la produccion P010.
demand_pull_industria_quimica,demand_pull,Industria quimica,0.8,millones Q de 2013,delta x agregado por categoria,0.15544877931807533,0.31089755863615065,False,False,,,El valor del manuscrito no se reproduce con la agregacion analitica explicita y la formula heredada.
demand_pull_servicios,demand_pull,Servicios,0.5,millones Q de 2013,delta x agregado por categoria,0.9344844870466555,1.868968974093311,False,False,,,El valor del manuscrito no se reproduce con la agregacion analitica explicita y la formula heredada.
demand_pull_transporte,demand_pull,Transporte,0.3,millones Q de 2013,delta x agregado por categoria,0.06014984880916645,0.1202996976183329,False,False,,,El valor del manuscrito no se reproduce con la agregacion analitica explicita y la formula heredada.
demand_pull_total,demand_pull,Total,4.77,millones Q de 2013,delta x total,3.166771669703373,6.333543339406746,False,False,,,4.77 no se reproduce ni para E5 ni para E10 con la logica heredada.
demand_pull_total_discusion,demand_pull,Total (discusion),4.75,millones Q de 2013,delta x total,3.166771669703373,6.333543339406746,False,False,,,"La discusion dice 4.75, mientras el abstract, el resumen y la tabla demand-pull dicen 4.77; ninguno se reproduce con la logica heredada."
multiplicador_produccion,demand_pull,Multiplicador,1.13,razon,delta x total / delta y total,1.6869623477180617,1.6869623477180617,False,False,,,1.13 no se reproduce; la matriz heredada arroja aproximadamente 1.687.
