id_escenario,naturaleza,codigo,producto,categoria,delta_precio_directo_fraccion,delta_precio_total_fraccion,delta_y_millones_q_2013,delta_x_millones_q_2013,delta_residual_no_intermedio_domestico_millones_q_2013
E5_original,reproduccion_forense,P001,Maíz,"Agricultura, silvicultura y pesca (sin P010)",7.176508269725397e-07,9.74737524879397e-07,0.0,3.086724063567101e-05,2.467551788998379e-05
E5_original,reproduccion_forense,P002,Frijoles,"Agricultura, silvicultura y pesca (sin P010)",6.645415246796137e-08,3.8894332419088817e-07,0.0,1.719379209715714e-05,1.2536560275094602e-05
E5_original,reproduccion_forense,P003,Leguminosas (legumbres secas) y semillas oleaginosas,"Agricultura, silvicultura y pesca (sin P010)",1.8388014388607492e-06,2.5481224371516394e-06,0.0,5.0139059241338145e-06,3.2870028639541627e-06
E5_original,reproduccion_forense,P004,Arroz,"Agricultura, silvicultura y pesca (sin P010)",9.13156817575581e-07,1.7216206305146098e-06,0.0,4.754825679061284e-06,3.083568110012205e-06
E5_original,reproduccion_forense,P005,Otros cereales,"Agricultura, silvicultura y pesca (sin P010)",5.690820061084978e-07,8.662046566185027e-07,0.0,1.2812226865533158e-06,1.003780407820975e-06
E5_original,reproduccion_forense,P006,Hortalizas,"Agricultura, silvicultura y pesca (sin P010)",1.034808141711407e-06,1.473613181902761e-06,0.0,0.00034391549949675925,0.0002808461312118219
E5_original,reproduccion_forense,P007,Sandías y melones,"Agricultura, silvicultura y pesca (sin P010)",7.34957232557163e-07,1.2167992169939735e-06,0.0,2.6680783102103507e-06,2.1269592583307074e-06
E5_original,reproduccion_forense,P008,Ejotes y arvejas,"Agricultura, silvicultura y pesca (sin P010)",7.116890663069154e-07,1.1136397443447435e-06,0.0,2.024387679328179e-06,1.6857588430561482e-06
E5_original,reproduccion_forense,P009,Raíces y tubérculos,"Agricultura, silvicultura y pesca (sin P010)",9.211720321890546e-07,1.5879974663920477e-06,0.0,5.048479347850336e-05,3.525873329954951e-05
E5_original,reproduccion_forense,P010,Caña de azúcar y otras plantas azucareras,Cana de azucar,1.8168695893995755e-06,2.9336920308423794e-06,1.8772035273857983,1.8790713809166484,0.8460410833125837
E5_original,reproduccion_forense,P011,Tabaco y otras plantas no perennes,"Agricultura, silvicultura y pesca (sin P010)",1.793437841212844e-07,5.98490439471e-07,0.0,5.120373304883346e-05,3.766266741052923e-05
E5_original,reproduccion_forense,P012,"Bananos, plátanos y otros","Agricultura, silvicultura y pesca (sin P010)",1.6826641142729484e-06,2.823786066452056e-06,0.0,1.0150083311959868e-05,6.879895513286323e-06
E5_original,reproduccion_forense,P013,Frutas tropicales y subtropicales,"Agricultura, silvicultura y pesca (sin P010)",1.0632437829655384e-06,1.525771967004015e-06,0.0,1.3259038136912187e-05,1.1363757476684873e-05
E5_original,reproduccion_forense,P014,"Berries, otras frutas y semillas de frutas","Agricultura, silvicultura y pesca (sin P010)",1.1873853182194126e-06,1.4894953519137123e-06,0.0,2.2408510059085113e-05,1.7681488267777605e-05
E5_original,reproduccion_forense,P015,Palma africana,"Agricultura, silvicultura y pesca (sin P010)",1.2690280057155022e-06,2.6114793812996146e-06,0.0,3.614810833393057e-05,2.5516906158866416e-05
E5_original,reproduccion_forense,P016,Café en grano,"Agricultura, silvicultura y pesca (sin P010)",5.9051499015394236e-08,7.818593936230951e-07,0.0,1.4936625999775053e-05,5.682778906691236e-06
E5_original,reproduccion_forense,P017,Cardamomo,"Agricultura, silvicultura y pesca (sin P010)",6.282575548237885e-07,1.5520800979879547e-06,0.0,2.477771541327854e-07,1.1962846866777038e-07
E5_original,reproduccion_forense,P018,Caucho natural,"Agricultura, silvicultura y pesca (sin P010)",2.8919655285759412e-06,5.139770668169911e-06,0.0,9.768949699495187e-05,4.219732184081748e-05
E5_original,reproduccion_forense,P019,Propagación de plantas,"Agricultura, silvicultura y pesca (sin P010)",2.9815887512868243e-06,4.3874868326705515e-06,0.0,0.0056759033834238555,0.002979776713317435
E5_original,reproduccion_forense,P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas","Agricultura, silvicultura y pesca (sin P010)",2.524652747604407e-06,3.094777983989024e-06,0.0,3.6524775083508172e-06,2.7467591487655113e-06
E5_original,reproduccion_forense,P021,Ganado bovino,"Agricultura, silvicultura y pesca (sin P010)",4.4237019657050123e-07,7.746021286251025e-07,0.0,0.00017591089675076646,0.00013994307134906168
E5_original,reproduccion_forense,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,"Agricultura, silvicultura y pesca (sin P010)",1.0523756724948944e-06,1.6515295967747188e-06,0.0,0.00010641167532474588,4.460005911582784e-05
E5_original,reproduccion_forense,P023,Aves de corral,"Agricultura, silvicultura y pesca (sin P010)",5.709889908373185e-07,1.265701428572338e-06,0.0,0.0002437460930633276,9.324251657575114e-05
E5_original,reproduccion_forense,P024,Leche cruda,"Agricultura, silvicultura y pesca (sin P010)",9.6228466394625e-07,1.7449160137469812e-06,0.0,2.2036893814391814e-05,8.965238119298308e-06
E5_original,reproduccion_forense,P025,Huevos,"Agricultura, silvicultura y pesca (sin P010)",5.767864677190699e-07,8.766104817266009e-07,0.0,4.3379558131138704e-05,2.9504198405100425e-05
E5_original,reproduccion_forense,P026,Otros productos de animales vivos,"Agricultura, silvicultura y pesca (sin P010)",0.0,7.459247266555854e-07,0.0,2.51853557970916e-06,1.6362456931604005e-06
E5_original,reproduccion_forense,P027,Troncos de madera y leña,"Agricultura, silvicultura y pesca (sin P010)",2.111420110458217e-06,3.1587223051738915e-06,0.0,0.00023031214420259478,0.00020238749854621096
E5_original,reproduccion_forense,P028,Productos forestales no madereros,"Agricultura, silvicultura y pesca (sin P010)",1.8029393199971815e-06,3.21557424481492e-06,0.0,2.0647515885764914e-05,1.567865684932682e-05
E5_original,reproduccion_forense,P029,"Peces vivos, frescos o refrigerados","Agricultura, silvicultura y pesca (sin P010)",1.1473213236536779e-05,1.1746218180884206e-05,0.0,2.0885457439374618e-06,1.7369211938423801e-06
E5_original,reproduccion_forense,P030,Crustáceos sin congelar y otros productos de la pesca,"Agricultura, silvicultura y pesca (sin P010)",1.5912806110805147e-06,2.1747573058101984e-06,0.0,5.409470262697921e-05,2.8681306860314677e-05
E5_original,reproduccion_forense,P031,Petróleo crudo y gas natural,Otros,5.1825978128014645e-06,6.021642615915888e-06,0.0,6.628403638782592e-05,4.9611557428557695e-05
E5_original,reproduccion_forense,P032,Minerales metálicos,Otros,1.387120067183528e-06,1.775187577108295e-06,0.0,4.219158610324972e-25,3.175348190585268e-25
E5_original,reproduccion_forense,P033,Minerales no metálicos,Otros,5.279230220204143e-06,5.832429767017219e-06,0.0,0.002542267225254499,0.0018514806128879103
E5_original,reproduccion_forense,P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,Otros,1.1232731877291778e-06,2.40326265608559e-06,0.0,0.0002857712615683433,7.107295312685792e-05
E5_original,reproduccion_forense,P035,Carne y despojos comestibles de ganado porcino,Otros,5.076542853454664e-07,1.989221689703186e-06,0.0,0.00012224163926621926,3.0420634152960745e-05
E5_original,reproduccion_forense,P036,Carne y despojos comestibles de aves,Otros,8.673293099880353e-07,2.189014671083232e-06,0.0,0.0003339473892996867,8.951147235266805e-05
E5_original,reproduccion_forense,P037,Carne y despojos de otros animales y conservas y preparados de carne,Otros,1.1167127816039802e-06,2.0927293500983886e-06,0.0,0.00018794936683912128,8.856763486075352e-05
E5_original,reproduccion_forense,P038,"Pescado congelado, preparado o en conserva y sus productos",Otros,1.279476066091306e-07,8.005346288345892e-07,0.0,2.1866011350376357e-07,1.8676603009850717e-07
E5_original,reproduccion_forense,P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",Otros,5.226548874934668e-07,1.2913045656963705e-06,0.0,3.607545184325154e-06,2.3735915921273387e-06
E5_original,reproduccion_forense,P040,"Vegetales preparados o en conserva, legumbres y papas",Otros,2.4274690442081524e-06,3.372562099013299e-06,0.0,4.616285534874082e-06,2.2756655935102354e-06
E5_original,reproduccion_forense,P041,Preparaciones y conservas de frutas y nueces,Otros,7.467084218423161e-07,1.5464254939080305e-06,0.0,6.422661037410501e-06,4.189728560425554e-06
E5_original,reproduccion_forense,P042,Jugos de frutas,Otros,1.7165996487428928e-06,2.7222373687111278e-06,0.0,7.281401978631134e-06,3.865904028711802e-06
E5_original,reproduccion_forense,P043,Aceites de origen vegetal,Otros,2.389938727575624e-07,1.5845358936213848e-06,0.0,7.681173558243346e-05,3.504093661918355e-05
E5_original,reproduccion_forense,P044,"Margarina, grasas y otros aceites de origen animal y vegetal",Otros,4.700860596809883e-07,1.8224756258902218e-06,0.0,2.311303881467501e-05,1.0395443007595978e-05
E5_original,reproduccion_forense,P045,Leche líquida y crema procesada,Otros,8.848590280262478e-07,2.2615955212047912e-06,0.0,2.5790736306369695e-05,1.0845205253229896e-05
E5_original,reproduccion_forense,P046,Otros productos lácteos n.c.p.,Otros,8.618452544718849e-07,2.1606652126271376e-06,0.0,3.596619429147945e-05,1.6249813649419128e-05
E5_original,reproduccion_forense,P047,Harina de trigo,Otros,1.3746200330265963e-06,2.4812441251676887e-06,0.0,8.797059112355012e-05,7.119942648066134e-05
E5_original,reproduccion_forense,P048,Arroz sin cáscara,Otros,9.584720356502108e-07,1.5665025159350857e-06,0.0,1.729357892542812e-05,1.2762770609425706e-05
E5_original,reproduccion_forense,P049,"Otros productos de molinería, almidones y productos de almidón",Otros,1.8959016742940988e-06,2.7674902729932046e-06,0.0,1.3004432074599257e-05,8.938557387383288e-06
E5_original,reproduccion_forense,P050,Pan y otros productos de panadería y repostería n.c.p.,Otros,2.6683218926596397e-07,1.4548548853775835e-06,0.0,0.00010878679152932635,5.67058766049758e-05
E5_original,reproduccion_forense,P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",Otros,2.3934178621457715e-08,6.833061152727347e-07,0.0,7.084680540027262e-05,4.5287336278241705e-05
E5_original,reproduccion_forense,P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",Otros,1.423469129217797e-07,2.5657440895543306e-06,0.0,0.003993673797408429,0.0014451900337781652
E5_original,reproduccion_forense,P053,Productos alimenticios n.c.p.,Otros,2.649397096622835e-06,3.4308907739620998e-06,0.0,0.00016840182579636588,0.00010765309189942078
E5_original,reproduccion_forense,P054,Preparados para alimentación animal,Otros,1.5193320414242217e-07,7.99515828562968e-07,0.0,0.00021201165617343342,0.0001435136095057944
E5_original,reproduccion_forense,P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",Otros,3.8612465092299656e-07,1.0636703987148031e-06,0.0,4.5183944685128e-05,1.8961355265460076e-05
E5_original,reproduccion_forense,P056,Malta y cerveza de malta,Otros,2.4206230022329688e-06,3.106397031269557e-06,0.0,2.4676882765186608e-05,1.6225509722834807e-05
E5_original,reproduccion_forense,P057,Bebidas no alcohólicas,Otros,7.777207845180651e-07,2.293060502001915e-06,0.0,7.877484324533891e-05,4.143008726701719e-05
E5_original,reproduccion_forense,P058,Aguas minerales y otras aguas embotelladas,Otros,7.891503283010837e-07,1.746483547987382e-06,0.0,6.052166669784069e-05,4.4958278645522216e-05
E5_original,reproduccion_forense,P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",Otros,2.8016618543872763e-07,6.595064208034712e-07,0.0,0.0009258915970256746,0.000617249251766667
E5_original,reproduccion_forense,P060,"Prendas de vestir, adobo y teñido de pieles",Otros,5.726104403200107e-07,1.1960326772029535e-06,0.0,0.001063264888896667,0.0006323688205481681
E5_original,reproduccion_forense,P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,Otros,1.2549010005361006e-06,2.2542384574542722e-06,0.0,0.0001458912064565624,8.186838841609182e-05
E5_original,reproduccion_forense,P062,"Calzado y sus partes, de cualquier material y de cualquier uso",Otros,6.395884928918828e-08,8.400343874318064e-07,0.0,2.027303942030258e-06,1.1912791228255026e-06
E5_original,reproduccion_forense,P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",Otros,1.3681386033652728e-06,3.1841115965969688e-06,0.0,0.0005720397336878528,0.00027597125503368977
E5_original,reproduccion_forense,P064,Pasta de papel y papel,Otros,2.1580435174536114e-07,1.014985875817284e-06,0.0,0.0007285376565781541,0.0004950605142464929
E5_original,reproduccion_forense,P065,Envases de papel y cartón,Otros,2.618192376593463e-07,8.756331413542125e-07,0.0,0.0013231952769126283,0.0009354722811709172
E5_original,reproduccion_forense,P066,Productos de la edición,Otros,6.245902889075097e-07,1.2235291127580417e-06,0.0,0.0004540844325803504,0.0003145092620558376
E5_original,reproduccion_forense,P067,Productos de la impresión,Otros,7.829789588443801e-07,1.3582917304722321e-06,0.0,0.0014153469101060565,0.0009029130481972517
E5_original,reproduccion_forense,P068,"Gasolinas, diésel oil y fuel oils",Combustibles y refinacion,2.61738782528178e-06,3.086632523146176e-06,0.0,0.0008006222056059456,0.0006902723658214132
E5_original,reproduccion_forense,P069,"Aceites, grasas lubricantes y otros aceites preparados",Combustibles y refinacion,0.0,0.0,0.0,0.0,0.0
E5_original,reproduccion_forense,P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",Combustibles y refinacion,5.4184272137187574e-06,6.329191295344922e-06,0.0,0.00012044717554276838,9.278634966888974e-05
E5_original,reproduccion_forense,P071,"Abonos, fertilizantes y pesticidas",Industria quimica ampliada,8.254287574634451e-08,5.220207770268556e-07,0.0,0.13947557417179532,0.10010597658410769
E5_original,reproduccion_forense,P072,"Pinturas, barnices, tintas y productos relacionados",Industria quimica ampliada,3.786214727567826e-07,8.455219378172034e-07,0.0,0.0013487758964405726,0.0009909619714391761
E5_original,reproduccion_forense,P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",Industria quimica ampliada,7.713428059957485e-07,1.1381820536439045e-06,0.0,0.0006044389685300039,0.00047536822050265633
E5_original,reproduccion_forense,P074,Otros productos químicos,Industria quimica ampliada,1.722139269482704e-07,1.5233628510818536e-06,0.0,0.001361986583141568,0.0007782629108477946
E5_original,reproduccion_forense,P075,Productos farmacéuticos,Industria quimica ampliada,7.868595183013043e-08,6.666755881324403e-07,0.0,4.913544672769454e-05,3.460667904630518e-05
E5_original,reproduccion_forense,P076,Productos de caucho y plástico,Industria quimica ampliada,2.3479338705098564e-07,7.042312614144337e-07,0.0,0.012608868251440168,0.00984884762998973
E5_original,reproduccion_forense,P077,Vidrio y productos de vidrio,Otros,3.546903089342064e-07,2.0340700620020195e-06,0.0,0.00022819197154701692,0.00014560923110008454
E5_original,reproduccion_forense,P078,Productos de cerámica y arcilla,Otros,6.539471912363332e-07,2.2456179405577073e-06,0.0,0.0004284831805334716,0.0002533500372333109
E5_original,reproduccion_forense,P079,"Cemento, cal y yeso",Otros,1.270655870374048e-06,2.6708769165323435e-06,0.0,0.0032129360833366,0.0019458257773897886
E5_original,reproduccion_forense,P080,"Artículos de hormigón, cemento y yeso",Otros,1.516279993661936e-06,3.4598143976174937e-06,0.0,0.0008061435438734113,0.0003114830015418303
E5_original,reproduccion_forense,P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,Otros,1.1096154185160078e-06,2.328454962932883e-06,0.0,0.0003908032760476909,0.00020386219562751548
E5_original,reproduccion_forense,P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",Otros,2.3385747856344056e-07,1.1894877782178886e-06,0.0,0.0019404651287160057,0.0013661259247932812
E5_original,reproduccion_forense,P083,Productos metálicos estructurales y sus partes de hierro o de acero,Otros,3.4766464249011543e-07,6.786533029441043e-07,0.0,0.0010439179637713027,0.0008573131605146793
E5_original,reproduccion_forense,P084,Otros productos elaborados de metal,Otros,9.161378033392592e-07,1.2414287570361312e-06,0.0,0.00621655754527662,0.005012162410421106
E5_original,reproduccion_forense,P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",Otros,6.03222006788506e-08,4.0795428325991176e-07,0.0,0.001723914908692948,0.0013208719419653893
E5_original,reproduccion_forense,P086,Electrodomésticos y sus partes,Otros,0.0,0.0,0.0,4.434259765928346e-14,4.434259765928346e-14
E5_original,reproduccion_forense,P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",Otros,0.0,0.0,0.0,1.3625403496794601e-14,1.3625403496794601e-14
E5_original,reproduccion_forense,P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",Otros,1.0848459159684776e-07,5.500840758685881e-07,0.0,7.621559650651026e-05,5.0618184948004335e-05
E5_original,reproduccion_forense,P089,"Equipo y aparatos de radio, televisión y comunicaciones",Otros,0.0,0.0,0.0,0.0,0.0
E5_original,reproduccion_forense,P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",Otros,0.0,7.718650553932575e-07,0.0,3.9232131322471555e-06,2.523228338620063e-06
E5_original,reproduccion_forense,P091,Equipo de transporte,Otros,1.275625840174231e-06,1.7106357212314027e-06,0.0,0.00029734872196610573,0.00019545472372611895
E5_original,reproduccion_forense,P092,Muebles,Otros,8.674809150730828e-07,2.208809744919591e-06,0.0,1.218404864620692e-05,6.323437953168573e-06
E5_original,reproduccion_forense,P093,Otros artículos n.c.p.,Otros,5.839792088961674e-07,1.0694642724044338e-06,0.0,0.0009541997746327818,0.0006615226378883247
E5_original,reproduccion_forense,P094,Residuos y desechos,Otros,4.3030306693577845e-06,4.614460892701402e-06,0.0,0.0005375538781670415,0.00044718269634213214
E5_original,reproduccion_forense,P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",Otros,2.2143988267775013e-07,4.769881139509991e-07,0.0,0.01510463481670465,0.011853166874240609
E5_original,reproduccion_forense,P096,Agua natural y distribución de agua natural,Otros,4.523253357074215e-06,4.9863912255451894e-06,0.0,0.08074828517802868,0.05530328908235139
E5_original,reproduccion_forense,P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",Otros,4.9794402042418735e-06,5.330951220973608e-06,0.0,0.00045168086148870414,0.00036707577857918817
E5_original,reproduccion_forense,P098,Edificaciones residenciales,Otros,2.233181246250183e-08,9.756658805067647e-07,0.0,0.0,0.0
E5_original,reproduccion_forense,P099,Edificaciones no residenciales,Otros,5.390895282203237e-08,1.1302902154393867e-06,0.0,0.0,0.0
E5_original,reproduccion_forense,P100,Obras de ingeniería civil,Otros,2.226901441911143e-06,3.544622006948613e-06,0.0,0.0,0.0
E5_original,reproduccion_forense,P101,Servicios generales y especializados de construcción,Servicios (sin transporte y logistica),1.3847680328574228e-06,2.5475106475582057e-06,0.0,0.023260479222078464,0.012548467864673585
E5_original,reproduccion_forense,P102,Servicios de comercio,Servicios (sin transporte y logistica),6.342697029757262e-07,1.201894690173596e-06,0.0,0.10017674357061011,0.07553850997424515
E5_original,reproduccion_forense,P103,Mantenimiento y reparación de vehículos automotores y motocicletas,Servicios (sin transporte y logistica),1.0238825439148787e-06,1.3676679175258891e-06,0.0,0.04147317250673241,0.033387381235884986
E5_original,reproduccion_forense,P104,Servicio de transporte de pasajeros por vía terrestre,Transporte y logistica,1.8525957687116675e-05,1.8891950681435205e-05,0.0,0.0007185451509932086,0.0005508877431244233
E5_original,reproduccion_forense,P105,Servicio de transporte de carga por vía terrestre,Transporte y logistica,2.008449113909066e-05,2.0588996478810444e-05,0.0,0.054503890977933345,0.03963283588789878
E5_original,reproduccion_forense,P106,Otros tipos de transporte,Transporte y logistica,1.3368076887366836e-06,1.9676934479634655e-06,0.0,0.00020259018185081064,0.000141350644193147
E5_original,reproduccion_forense,P107,Servicios de almacenamiento y depósito,Transporte y logistica,0.0,6.314058341326937e-07,0.0,0.00022997425811322112,0.00014730170466992893
E5_original,reproduccion_forense,P108,Otros servicios de apoyo al transporte,Transporte y logistica,1.5949244200793988e-06,3.049401795828781e-06,0.0,0.003532069830877326,0.0020982463838416336
E5_original,reproduccion_forense,P109,Servicios postales y de mensajería,Transporte y logistica,4.58537573463264e-06,6.216503858266998e-06,0.0,0.0009627784093985377,0.0006031238662917127
E5_original,reproduccion_forense,P110,Servicio de alojamiento,Servicios (sin transporte y logistica),7.265138717607665e-07,1.2223106883045729e-06,0.0,0.005890899521883582,0.0037536852383392647
E5_original,reproduccion_forense,P111,Servicio de suministro de comidas y bebidas,Servicios (sin transporte y logistica),1.0186783002393189e-07,1.0897646003203003e-06,0.0,0.006134226769998411,0.003078258178645156
E5_original,reproduccion_forense,P112,"Servicios de información, telecomunicaciones y radiodifusión",Servicios (sin transporte y logistica),6.063059137644229e-07,8.633324779378869e-07,0.0,0.008690349506175955,0.00661751639454952
E5_original,reproduccion_forense,P113,Servicios de banco central,Servicios (sin transporte y logistica),1.1131216283080339e-07,5.147022485870734e-07,0.0,0.0,0.0
E5_original,reproduccion_forense,P114,Otros servicios financieros y servicios de banca de inversión,Servicios (sin transporte y logistica),1.0006430371516312e-08,6.67921035779738e-07,0.0,0.005232281569272048,0.002499471964304477
E5_original,reproduccion_forense,P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),Servicios (sin transporte y logistica),2.600428602986448e-09,3.8490526664640065e-07,0.0,0.01695332608694558,0.011770742533758916
E5_original,reproduccion_forense,P116,"Servicios de seguro, reaseguro y fondos de pensiones",Servicios (sin transporte y logistica),2.754622357932943e-08,2.2995503263846726e-07,0.0,0.0033812634900865827,0.0018599215958288924
E5_original,reproduccion_forense,P117,Servicios auxiliares de la intermediación financiera,Servicios (sin transporte y logistica),2.8666361772257758e-08,3.679380454813081e-07,0.0,0.0021865405048637366,0.001327180128838062
E5_original,reproduccion_forense,P118,Servicios de alquiler de vivienda,Servicios (sin transporte y logistica),2.0333669387219857e-15,1.1777080009270658e-07,0.0,0.0,0.0
E5_original,reproduccion_forense,P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",Servicios (sin transporte y logistica),1.1274015479312502e-07,5.079699484324423e-07,0.0,0.019128348545902216,0.013981143782798636
