control,valor_observado,valor_esperado,tolerancia_absoluta,cumple,interpretacion
sha256_02_resultados_y_diccionario/productos_2013.csv,2101df76af6295d722348aa86fda083172cffb369168a55afeb24c20a481d88c,2101df76af6295d722348aa86fda083172cffb369168a55afeb24c20a481d88c,,True,
sha256_02_resultados_y_diccionario/matrices/Z_domestica_2013.csv,8ebe5ec5c254a55c4be6899befccd276ddac0d4f67ed22e3a089fc947dd06a7d,8ebe5ec5c254a55c4be6899befccd276ddac0d4f67ed22e3a089fc947dd06a7d,,True,
sha256_02_resultados_y_diccionario/vectores/produccion_y_utilizacion_2013.csv,2e7b27d44e16c79a35472f777ed4a223b7f4125662d9e63216e2020b1bbef9a1,2e7b27d44e16c79a35472f777ed4a223b7f4125662d9e63216e2020b1bbef9a1,,True,
sha256_02_concordancias/agregaciones_economia_articulo.csv,8dcb665d2591d129b4de1147fa710b4cb6794c53027628ae4438c6f7febca6a7,8dcb665d2591d129b4de1147fa710b4cb6794c53027628ae4438c6f7febca6a7,,True,
dimension_productos,152,152,,True,
ajuste_historico_p105,11393.680408429595,11393.680408429595,5e-12,True,Se resta el offset P105 para reconstruir la variante de x usada por el cuaderno; la diferencia frente al ajuste CIF/FOB público es solo de redondeo.
definicion_residual_no_intermedio_domestico,0.0,0.0,1e-12,True,Es x menos la suma por columna de Z domestica; no VAB.
identidad_inversa_leontief,9.992007221626409e-16,0.0,1e-12,True,
golden_E5_original_r_fraccion,0.015285714285714347,0.015285714285714347,5e-13,True,
golden_E5_original_delta_y_total_millones_q_2013,1.8772035273857983,1.8772035273857974,5e-13,True,
golden_E5_original_delta_x_total_millones_q_2013,3.166771669703373,3.16677166970337,5e-13,True,
golden_E5_original_delta_residual_no_intermedio_domestico_total_millones_q_2013,1.8772035273857983,1.8772035273857952,5e-13,True,
golden_E5_original_delta_precio_total_promedio_fraccion,1.9264423344552988e-06,1.926442334455293e-06,5e-13,True,
golden_E5_original_delta_precio_transporte_p104_p105_promedio_fraccion,1.9740473580122824e-05,1.974047358012278e-05,5e-13,True,
golden_E5_original_delta_x_p010_millones_q_2013,1.8790713809166484,1.879071380916647,5e-13,True,
golden_E5_original_multiplicador_produccion,1.6869623477180617,1.6869623477180609,5e-13,True,
golden_E10_misma_metodologia_r_fraccion,0.0005714285714286671,0.0005714285714286671,5e-13,True,
golden_E10_misma_metodologia_delta_y_total_millones_q_2013,3.7544070547715966,3.754407054771595,5e-13,True,
golden_E10_misma_metodologia_delta_x_total_millones_q_2013,6.333543339406746,6.33354333940674,5e-13,True,
golden_E10_misma_metodologia_delta_residual_no_intermedio_domestico_total_millones_q_2013,3.7544070547715966,3.7544070547715904,5e-13,True,
golden_E10_misma_metodologia_delta_precio_total_promedio_fraccion,7.201653586749956e-08,7.201653586749935e-08,5e-13,True,
golden_E10_misma_metodologia_delta_precio_transporte_p104_p105_promedio_fraccion,7.379616291635907e-07,7.37961629163589e-07,5e-13,True,
golden_E10_misma_metodologia_delta_x_p010_millones_q_2013,3.7581427618332968,3.758142761833294,5e-13,True,
golden_E10_misma_metodologia_multiplicador_produccion,1.6869623477180617,1.6869623477180609,5e-13,True,
1_53_es_r_e5_por_redondeo,1.5285714285714347,1.53,,True,"Es el choque inicial r, no el precio propagado de transporte."
1_53_no_es_transporte_propagado,0.0019740473580122826,1.53,,True,
3_17_es_delta_x_total_e5_por_redondeo,3.166771669703373,3.17,,True,"Es el total de produccion E5, no la produccion de P010."
3_17_no_es_delta_x_p010,1.8790713809166484,3.17,,True,
manuscrito_no_reproducido_cost_push_industria_quimica,E5=8.999990781861152e-05; E10=3.364482535275746e-06,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_cost_push_servicios,E5=9.185137407675124e-05; E10=3.4336962271688317e-06,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_cost_push_agricultura,E5=0.0002181076992357036; E10=8.153558849934177e-06,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_demand_pull_industria_quimica,E5=0.15544877931807533; E10=0.31089755863615065,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_demand_pull_servicios,E5=0.9344844870466555; E10=1.868968974093311,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_demand_pull_transporte,E5=0.06014984880916645; E10=0.1202996976183329,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_demand_pull_total,E5=3.166771669703373; E10=6.333543339406746,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_demand_pull_total_discusion,E5=3.166771669703373; E10=6.333543339406746,no coincide con el valor reportado en el manuscrito,,True,
manuscrito_no_reproducido_multiplicador_produccion,E5=1.6869623477180617; E10=1.6869623477180617,no coincide con el valor reportado en el manuscrito,,True,
